repdomains,log2val,sample_strand,direction,windows
ERD,-0.231674233238097,-,Right Replicating,39
ERD,-0.224179728485367,+,Right Replicating,39
LRD,-0.288270710324412,-,Right Replicating,39
LRD,-0.629371085036457,+,Right Replicating,39
ERD,-0.179102650181954,-,Right Replicating,4
ERD,-0.10741613585512,+,Right Replicating,4
LRD,-0.213249865250458,-,Right Replicating,4
LRD,-0.295208300639921,+,Right Replicating,4
ERD,-0.102326581149634,-,Right Replicating,40
ERD,-0.257776995708627,+,Right Replicating,40
LRD,-0.186606650262543,-,Right Replicating,40
LRD,-0.712452862081571,+,Right Replicating,40
ERD,-0.168266435547267,-,Right Replicating,41
ERD,-0.184145536909024,+,Right Replicating,41
LRD,-0.13048170852473,-,Right Replicating,41
LRD,-0.555613718218759,+,Right Replicating,41
ERD,-0.0708681099367719,-,Right Replicating,42
ERD,0.0498782705640321,+,Right Replicating,42
LRD,-0.235339538096535,-,Right Replicating,42
LRD,-0.595553485761054,+,Right Replicating,42
ERD,-0.271889410769523,-,Right Replicating,43
ERD,-0.176268154220344,+,Right Replicating,43
LRD,-0.227256934592099,-,Right Replicating,43
LRD,-0.63198479685411,+,Right Replicating,43
ERD,-0.131042923945677,-,Right Replicating,44
ERD,-0.260461174866826,+,Right Replicating,44
LRD,-0.248622132849448,-,Right Replicating,44
LRD,-0.511699846369016,+,Right Replicating,44
