repdomains,log2val,norm,strands,direction,window_number
ERD,-7.17456112462978,0.0069221641812439,+,Left Replicating,-87
ERD,-7.01603395228061,0.00772615345535057,-,Right Replicating,39
ERD,-6.95665949417865,0.00805075893379451,+,Right Replicating,39
ERD,-6.878174096148,0.00850086817772786,-,Right Replicating,40
ERD,-6.99347121992847,0.00784793484851735,+,Right Replicating,40
ERD,-7.24205520701153,0.00660578070963526,-,Right Replicating,41
ERD,-7.11598936892857,0.007208978845886,+,Right Replicating,41
ERD,-7.09436196986553,0.00731786253340121,-,Right Replicating,42
ERD,-6.9552536678097,0.00805860777574431,+,Right Replicating,42
ERD,-6.76764082544951,0.00917776877060753,-,Right Replicating,43
ERD,-6.73270197089774,0.00940274709099531,+,Right Replicating,43
ERD,-6.930743686294,0.0081966852410214,-,Right Replicating,44
ERD,-7.03299027366271,0.00763587777934395,+,Right Replicating,44
ERD,-7.00860100682523,0.00776606228451847,-,Right Replicating,45
ERD,-6.92645409183705,0.00822109287955263,+,Right Replicating,45
ERD,-6.977552570566,0.00793500820088343,-,Right Replicating,46
ERD,-6.83719829644815,0.00874577351545927,+,Right Replicating,46
ERD,-7.21525552534612,0.00672963733621148,-,Right Replicating,47
ERD,-6.90968987193038,0.00831717975579502,+,Right Replicating,47
ERD,-7.03379918595802,0.00763159757879499,-,Right Replicating,48
ERD,-6.666723765673,0.00984274363833681,+,Right Replicating,48
ERD,-7.35037800396178,0.00612795745373723,-,Left Replicating,-86
ERD,-7.45164749714417,0.00571255752282112,+,Left Replicating,-86
ERD,-7.23547441152501,0.00663598154060973,-,Right Replicating,49
ERD,-7.00584802539415,0.00778089579843221,+,Right Replicating,49
ERD,-6.95736298201264,0.00804683417479729,-,Right Replicating,50
ERD,-6.95048051626709,0.00808531380568343,+,Right Replicating,50
ERD,-7.19591575186358,0.00682045758398778,-,Right Replicating,51
ERD,-7.08838355001786,0.00734825012434915,+,Right Replicating,51
ERD,-7.14461028389483,0.00706737274314163,-,Right Replicating,52
ERD,-6.95412174022257,0.00806493297931449,+,Right Replicating,52
ERD,-7.01220825999761,0.00774666860914382,-,Right Replicating,53
ERD,-6.95046794315866,0.00808538426961885,+,Right Replicating,53
ERD,-6.98511265390286,0.00789353552908758,-,Right Replicating,54
ERD,-7.04190634980414,0.00758883240961079,+,Right Replicating,54
ERD,-6.91328416959855,0.00829648431377658,-,Right Replicating,55
ERD,-7.1762926539828,0.00691386115099947,+,Right Replicating,55
ERD,-6.95498281545916,0.00806012084517272,-,Right Replicating,56
ERD,-6.90191125571361,0.00836214482001373,+,Right Replicating,56
ERD,-6.79648862785131,0.00899607480009164,-,Right Replicating,57
ERD,-6.84336771723811,0.00870845367137253,+,Right Replicating,57
ERD,-6.97799092479067,0.00793259756253948,-,Right Replicating,58
ERD,-7.03260372587951,0.00763792396859531,+,Right Replicating,58
ERD,-7.41346280792637,0.00586577395761531,-,Left Replicating,-85
ERD,-7.25269931843131,0.00655722303149909,+,Left Replicating,-85
ERD,-6.86487727353454,0.00857957992011423,-,Right Replicating,59
ERD,-6.77248987371524,0.00914697311674499,+,Right Replicating,59
ERD,-7.46969438906231,0.00564154336052571,-,Right Replicating,60
ERD,-6.91789043550368,0.00827003737349259,+,Right Replicating,60
ERD,-6.76697325103526,0.00918201655769011,-,Right Replicating,61
ERD,-7.21094514325507,0.00674977373621893,+,Right Replicating,61
ERD,-6.87803160811912,0.00850170780892764,-,Right Replicating,62
ERD,-7.11765048337532,0.00720068322743584,+,Right Replicating,62
ERD,-7.28992276568128,0.00639020192118974,-,Right Replicating,63
ERD,-7.14344799617162,0.00707306877044374,+,Right Replicating,63
ERD,-7.15008975227733,0.00704058122013635,-,Right Replicating,64
ERD,-7.07649392200003,0.00740905920750939,+,Right Replicating,64
ERD,-6.93465590938426,0.00817448801950853,-,Right Replicating,65
ERD,-6.95152370247463,0.00807946957739528,+,Right Replicating,65
ERD,-7.15611670927796,0.00701123006247181,-,Right Replicating,66
ERD,-6.89739046652882,0.00838838930321823,+,Right Replicating,66
ERD,-6.9691934332024,0.00798111798469053,-,Right Replicating,67
ERD,-6.97027643600517,0.00797512896453505,+,Right Replicating,67
ERD,-7.04013556053237,0.00759815279483848,-,Right Replicating,68
ERD,-7.03056354085466,0.00764873276812432,+,Right Replicating,68
ERD,-7.17313946172048,0.00692898879361304,-,Left Replicating,-84
ERD,-7.06389430917703,0.0074740487585869,+,Left Replicating,-84
ERD,-6.98265141638657,0.00790701339282535,-,Right Replicating,69
ERD,-7.21995117819395,0.00670776946392456,+,Right Replicating,69
ERD,-7.06744989098925,0.00745565133510466,-,Right Replicating,70
ERD,-6.84733832864281,0.00868451905929726,+,Right Replicating,70
ERD,-7.63591963385384,0.00502758180376831,-,Right Replicating,71
ERD,-7.16683301611191,0.00695934374451939,+,Right Replicating,71
ERD,-6.9181347606606,0.00826863693401258,-,Right Replicating,72
ERD,-7.05611446802786,0.00751446199452327,+,Right Replicating,72
ERD,-7.25281814309805,0.00655668298129212,-,Right Replicating,73
ERD,-7.14179223455738,0.00708119109599702,+,Right Replicating,73
ERD,-7.03123607286373,0.00764516803775588,-,Right Replicating,74
ERD,-7.43284238156285,0.00578750647762263,+,Right Replicating,74
ERD,-7.33451117431899,0.00619572499765232,-,Right Replicating,75
ERD,-7.24072516631542,0.00661187347915161,+,Right Replicating,75
ERD,-7.01807375944551,0.00771523726956743,-,Right Replicating,76
ERD,-6.69356374237676,0.0096613215284544,+,Right Replicating,76
ERD,-7.11647598128887,0.0072065477107059,-,Right Replicating,77
ERD,-7.0172614877239,0.0077195823552657,+,Right Replicating,77
ERD,-7.01806307570414,0.00771529440423722,-,Right Replicating,78
ERD,-7.2600326768951,0.00652397660145798,+,Right Replicating,78
ERD,-7.21592756564008,0.00672650324749086,-,Left Replicating,-83
ERD,-7.05678593198521,0.00751096540221769,+,Left Replicating,-83
ERD,-7.20583507089803,0.00677372404379165,-,Right Replicating,79
ERD,-7.16981043686591,0.00694499592545968,+,Right Replicating,79
ERD,-7.06920455577392,0.00744658897877601,-,Right Replicating,80
ERD,-7.15346209211233,0.00702414288548199,+,Right Replicating,80
ERD,-7.13542186760585,0.00711252795141826,-,Right Replicating,81
ERD,-7.16515878452971,0.00696742467369919,+,Right Replicating,81
ERD,-7.39420297638275,0.00594460647347568,-,Right Replicating,82
ERD,-7.21040950645581,0.00675228022465861,+,Right Replicating,82
ERD,-7.34311000349774,0.00615890673380661,-,Right Replicating,83
ERD,-7.52238989312255,0.00543919968594877,+,Right Replicating,83
ERD,-7.20502630975891,0.00677752239372275,-,Right Replicating,84
ERD,-7.1140524743667,0.00721866378191093,+,Right Replicating,84
ERD,-6.84650573045027,0.00868953245543322,-,Right Replicating,85
ERD,-7.3683894119461,0.00605192820493156,+,Right Replicating,85
ERD,-7.01558473157154,0.00772855956921753,-,Right Replicating,86
ERD,-7.38336198321061,0.0059894449033039,+,Right Replicating,86
ERD,-7.03055228025749,0.00764879246863775,-,Right Replicating,87
ERD,-7.27673199393023,0.00644889638907537,+,Right Replicating,87
ERD,-7.3934203839524,0.0059478320103507,-,Right Replicating,88
ERD,-7.07973126642513,0.00739245224307381,+,Right Replicating,88
ERD,-7.32321076602117,0.00624444572021517,-,Left Replicating,-82
ERD,-6.73025217951476,0.00941872713979264,+,Left Replicating,-82
ERD,-7.03668644261483,0.00761633978254992,-,Right Replicating,89
ERD,-7.18018446923979,0.00689523544746768,+,Right Replicating,89
ERD,-7.16764481114836,0.00695542886898338,-,Right Replicating,90
ERD,-6.75286864018251,0.00927222544502777,+,Right Replicating,90
ERD,-7.17519961822802,0.00691910131659921,-,Right Replicating,91
ERD,-7.1442261365111,0.00706925482782003,+,Right Replicating,91
ERD,-7.07244013886085,0.00742990696451554,-,Right Replicating,92
ERD,-6.96308634757286,0.00801497453722739,+,Right Replicating,92
ERD,-7.26522444605563,0.00650054122008333,-,Right Replicating,93
ERD,-6.90567025495858,0.00834038527945463,+,Right Replicating,93
ERD,-6.92497265544463,0.00822953907296862,-,Right Replicating,94
ERD,-6.96445916625185,0.00800735139233751,+,Right Replicating,94
ERD,-7.06107667489052,0.00748866010294989,-,Right Replicating,95
ERD,-7.12911924412089,0.00714366803653392,+,Right Replicating,95
ERD,-7.04700883111795,0.00756203985821946,-,Right Replicating,96
ERD,-7.15854163381339,0.00699945527789218,+,Right Replicating,96
ERD,-7.11212906387588,0.0072282941700324,-,Right Replicating,97
ERD,-7.24073455913644,0.0066118304319793,+,Right Replicating,97
ERD,-7.16290288769527,0.00697832793872418,-,Right Replicating,98
ERD,-7.20209227942281,0.00679131996710537,+,Right Replicating,98
ERD,-7.49772431039933,0.00553299252324615,-,Left Replicating,-99
ERD,-7.26049816285319,0.00652187197813138,+,Left Replicating,-99
ERD,-7.10975450509391,0.00724020115102861,-,Left Replicating,-81
ERD,-7.08543159205898,0.00736330107561392,+,Left Replicating,-81
ERD,-7.42431347987177,0.00582182230067263,-,Right Replicating,99
