chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds
.,0,100,Initiation Zones,0,.,64_PP,62,late,12,LRD,+,_,0.697933793723315,0.672438080249055,1.03791533261295
.,0,100,Initiation Zones,0,.,64_PP,63,late,12,ERD,-,_,1.19234724694577,1.62678151271789,0.73294860903213
.,0,100,Initiation Zones,0,.,64_PP,63,late,12,ERD,+,_,1.31160889097915,1.54150018712536,0.850865216841185
.,0,100,Initiation Zones,0,.,64_PP,63,late,12,LRD,-,_,0.722786151406905,0.843049675956605,0.857347048484139
.,0,100,Initiation Zones,0,.,64_PP,63,late,12,LRD,+,_,0.773427219339873,0.863153749062154,0.896048033366279
.,0,100,Initiation Zones,0,.,64_PP,64,late,12,ERD,-,_,1.27116280183001,1.48647225553299,0.855154071728184
.,0,100,Initiation Zones,0,.,64_PP,64,late,12,ERD,+,_,1.19282263880662,1.42114088232685,0.839341583681417
.,0,100,Initiation Zones,0,.,64_PP,64,late,12,LRD,-,_,0.651019062204931,0.784713649272108,0.82962627553224
.,0,100,Initiation Zones,0,.,64_PP,64,late,12,LRD,+,_,0.735283195113338,0.832699735738388,0.883011202665188
.,0,100,Initiation Zones,0,.,64_PP,65,late,12,ERD,-,_,1.36215631132398,1.58450864000505,0.859671116289808
.,0,100,Initiation Zones,0,.,64_PP,65,late,12,ERD,+,_,1.15494237534822,1.45630422395272,0.79306394663435
.,0,100,Initiation Zones,0,.,64_PP,65,late,12,LRD,-,_,0.802853785841462,0.724316595531169,1.10842936748218
.,0,100,Initiation Zones,0,.,64_PP,65,late,12,LRD,+,_,0.690309814362937,0.756070925701113,0.913022562959692
.,0,100,Initiation Zones,0,.,64_PP,66,late,12,ERD,-,_,1.16908640687821,1.50097144394873,0.778886508195386
.,0,100,Initiation Zones,0,.,64_PP,66,late,12,ERD,+,_,1.20120521973961,1.38643104149035,0.866400984825307
.,0,100,Initiation Zones,0,.,64_PP,66,late,12,LRD,-,_,0.635791464174095,0.70187217640794,0.905850788142031
.,0,100,Initiation Zones,0,.,64_PP,66,late,12,LRD,+,_,0.595570600651007,0.77515544505728,0.768324088347206
.,0,100,Initiation Zones,0,.,64_PP,67,late,12,ERD,-,_,1.24691252785363,1.43588705508032,0.868391788505872
.,0,100,Initiation Zones,0,.,64_PP,67,late,12,ERD,+,_,1.23583396265201,1.44823994443389,0.853335089535242
.,0,100,Initiation Zones,0,.,64_PP,67,late,12,LRD,-,_,0.784710476764873,0.796231134173203,0.985531013654354
.,0,100,Initiation Zones,0,.,64_PP,67,late,12,LRD,+,_,0.660204658204808,0.69468320495302,0.950367956930032
.,0,100,Initiation Zones,0,.,64_PP,68,late,12,ERD,-,_,1.29338822078616,1.54900058368539,0.834982397300927
.,0,100,Initiation Zones,0,.,64_PP,68,late,12,ERD,+,_,1.17526268408182,1.67499831569278,0.701650069179757
.,0,100,Initiation Zones,0,.,64_PP,68,late,12,LRD,-,_,0.666803686171776,0.809886044348295,0.823330258404865
.,0,100,Initiation Zones,0,.,64_PP,68,late,12,LRD,+,_,0.622875835103892,0.729801222184008,0.853486971753582
.,0,100,Initiation Zones,0,.,64_PP,69,late,12,ERD,-,_,1.20012798676646,1.70105022468882,0.70552178257171
.,0,100,Initiation Zones,0,.,64_PP,69,late,12,ERD,+,_,1.23563916213457,1.65713856140001,0.74564625488569
.,0,100,Initiation Zones,0,.,64_PP,69,late,12,LRD,-,_,0.632674839349712,0.746873227888159,0.847098029124231
.,0,100,Initiation Zones,0,.,64_PP,69,late,12,LRD,+,_,0.73751809844195,0.810242892811247,0.910243218404584
.,0,100,Initiation Zones,0,.,64_PP,7,late,12,ERD,-,_,1.30420687355712,1.5385508630842,0.847685250354802
.,0,100,Initiation Zones,0,.,64_PP,7,late,12,ERD,+,_,1.23977309409856,1.52845680936595,0.811127332157233
.,0,100,Initiation Zones,0,.,64_PP,7,late,12,LRD,-,_,0.806222255901372,0.765642366601454,1.0530011021726
.,0,100,Initiation Zones,0,.,64_PP,7,late,12,LRD,+,_,0.816996287096003,0.649368723960595,1.25813926194816
.,0,100,Initiation Zones,0,.,64_PP,70,late,12,ERD,-,_,1.14653934320332,1.46327406553686,0.783543814659674
.,0,100,Initiation Zones,0,.,64_PP,70,late,12,ERD,+,_,1.1897994964181,1.49677031352259,0.794911206929245
.,0,100,Initiation Zones,0,.,64_PP,70,late,12,LRD,-,_,0.662937616577034,0.69773617000709,0.950126487738622
.,0,100,Initiation Zones,0,.,64_PP,70,late,12,LRD,+,_,0.743021964848234,0.743604290762264,0.999216887367025
.,0,100,Initiation Zones,0,.,64_PP,71,late,12,ERD,-,_,1.22236795945471,1.42197209774933,0.859628653325513
.,0,100,Initiation Zones,0,.,64_PP,71,late,12,ERD,+,_,1.33889631906319,1.51524050273707,0.883619674002024
.,0,100,Initiation Zones,0,.,64_PP,71,late,12,LRD,-,_,0.757185247733736,0.860456393596335,0.879980965181779
.,0,100,Initiation Zones,0,.,64_PP,71,late,12,LRD,+,_,0.63087916809328,0.823687833836458,0.765920221444645
.,0,100,Initiation Zones,0,.,64_PP,72,late,12,ERD,-,_,1.21430567970343,1.45870095551335,0.832456902913382
.,0,100,Initiation Zones,0,.,64_PP,72,late,12,ERD,+,_,1.17072552272057,1.43737027094407,0.814491259758443
.,0,100,Initiation Zones,0,.,64_PP,72,late,12,LRD,-,_,0.709687226802631,0.847516457014872,0.837372797812442
.,0,100,Initiation Zones,0,.,64_PP,72,late,12,LRD,+,_,0.584569176832382,0.717325675967407,0.814928555351116
.,0,100,Initiation Zones,0,.,64_PP,73,late,12,ERD,-,_,1.32152439537711,1.49219792644319,0.885622726019398
.,0,100,Initiation Zones,0,.,64_PP,73,late,12,ERD,+,_,1.25569902113234,1.52030785085569,0.825950494451227
.,0,100,Initiation Zones,0,.,64_PP,73,late,12,LRD,-,_,0.688160387864111,0.760048080942421,0.905416913902113
.,0,100,Initiation Zones,0,.,64_PP,73,late,12,LRD,+,_,0.680448245586323,0.762220447760531,0.892718435441529
.,0,100,Initiation Zones,0,.,64_PP,74,late,12,ERD,-,_,1.13977779899243,1.51630656641124,0.751680315999705
.,0,100,Initiation Zones,0,.,64_PP,74,late,12,ERD,+,_,1.31924264508124,1.48904501547325,0.885965589604393
.,0,100,Initiation Zones,0,.,64_PP,74,late,12,LRD,-,_,0.673836816849573,0.737390729840621,0.91381243292171
.,0,100,Initiation Zones,0,.,64_PP,74,late,12,LRD,+,_,0.772576177065071,0.726775999623105,1.06301828550436
.,0,100,Initiation Zones,0,.,64_PP,75,late,12,ERD,-,_,1.38248827699394,1.61627264340961,0.855355860059296
.,0,100,Initiation Zones,0,.,64_PP,75,late,12,ERD,+,_,1.2040541682897,1.46237934543008,0.823352827057051
.,0,100,Initiation Zones,0,.,64_PP,75,late,12,LRD,-,_,0.624884581315879,0.746680700204178,0.836883263682864
.,0,100,Initiation Zones,0,.,64_PP,75,late,12,LRD,+,_,0.668142974282954,0.758308693064354,0.881096287559309
.,0,100,Initiation Zones,0,.,64_PP,76,late,12,ERD,-,_,1.08904781970072,1.44582033967575,0.75323869073868
.,0,100,Initiation Zones,0,.,64_PP,76,late,12,ERD,+,_,1.22368473732521,1.55838585081963,0.785225774914224
.,0,100,Initiation Zones,0,.,64_PP,76,late,12,LRD,-,_,0.706663765038846,0.806982704496201,0.875686382250305
.,0,100,Initiation Zones,0,.,64_PP,76,late,12,LRD,+,_,0.768248019210365,0.666788834661146,1.15216089303712
.,0,100,Initiation Zones,0,.,64_PP,77,late,12,ERD,-,_,1.15117431475442,1.55927107378463,0.7382772207531
.,0,100,Initiation Zones,0,.,64_PP,77,late,12,ERD,+,_,1.21330204413223,1.50723304122479,0.804986363055238
.,0,100,Initiation Zones,0,.,64_PP,77,late,12,LRD,-,_,0.736435105639539,0.835377226850087,0.881559949169762
.,0,100,Initiation Zones,0,.,64_PP,77,late,12,LRD,+,_,0.63193818257304,0.726450214561086,0.869898817436306
.,0,100,Initiation Zones,0,.,64_PP,78,late,12,ERD,-,_,1.17109403936773,1.5384635361508,0.761210137159169
.,0,100,Initiation Zones,0,.,64_PP,78,late,12,ERD,+,_,1.15335277096773,1.47402878197185,0.782449288015164
.,0,100,Initiation Zones,0,.,64_PP,78,late,12,LRD,-,_,0.688140106096122,0.834587943755935,0.82452677545191
.,0,100,Initiation Zones,0,.,64_PP,78,late,12,LRD,+,_,0.623505638779427,0.734101458571355,0.84934532073106
.,0,100,Initiation Zones,0,.,64_PP,79,late,12,ERD,-,_,1.19721546523099,1.53664870912365,0.779108105920815
.,0,100,Initiation Zones,0,.,64_PP,79,late,12,ERD,+,_,1.18492491098548,1.29209652956594,0.917056027836821
.,0,100,Initiation Zones,0,.,64_PP,79,late,12,LRD,-,_,0.681458494027604,0.754071660577653,0.903705217492958
.,0,100,Initiation Zones,0,.,64_PP,79,late,12,LRD,+,_,0.649223678205942,0.867625331718585,0.7482765365091
.,0,100,Initiation Zones,0,.,64_PP,8,late,12,ERD,-,_,1.15627837467594,1.47392674481402,0.784488359916312
.,0,100,Initiation Zones,0,.,64_PP,8,late,12,ERD,+,_,1.33537745127785,1.61999280163,0.824310731463883
.,0,100,Initiation Zones,0,.,64_PP,8,late,12,LRD,-,_,0.86845428258563,0.727651461383699,1.19350311058839
.,0,100,Initiation Zones,0,.,64_PP,8,late,12,LRD,+,_,0.7737573675553,0.734208369145675,1.05386617760247
.,0,100,Initiation Zones,0,.,64_PP,80,late,12,ERD,-,_,1.13512564471083,1.53392056583387,0.740015923897432
.,0,100,Initiation Zones,0,.,64_PP,80,late,12,ERD,+,_,1.17915645871286,1.57425820686859,0.749023542369429
.,0,100,Initiation Zones,0,.,64_PP,80,late,12,LRD,-,_,0.622477882231988,0.733369889892226,0.848791163656127
