dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,method,sample_strand,windows,repdomains,12,120,diff
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,33,LRD,0.163485779818438,0.187955053774441,-0.149672185453547
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,34,ERD,0.175852791433263,0.164478462739992,0.064680967532938
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,34,LRD,0.179409719411143,0.197959113088242,-0.10339124177877
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,35,ERD,0.183802301182986,0.174900247392902,0.048432765709616
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,35,LRD,0.176224931492602,0.19401812002523,-0.100968622214357
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,36,ERD,0.16718059897902,0.164272090766667,0.017397402749575
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,36,LRD,0.173040143574061,0.200839069557367,-0.160650155560045
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,37,ERD,0.205482782318594,0.166851740433229,0.18800135685076
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,37,LRD,0.181179046032555,0.209933668933549,-0.158708324889996
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,38,ERD,0.172721166380342,0.172526969699665,0.00112433632047898
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,38,LRD,0.16525510643985,0.182953024117541,-0.107094528326316
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,39,ERD,0.190306445523668,0.170360063979753,0.104811907389835
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,39,LRD,0.164547375791285,0.194321273337769,-0.180944225961097
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,40,ERD,0.170794012501621,0.164065718793342,0.039394201293887
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,40,LRD,0.176224931492602,0.198565419713321,-0.126772574297506
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,41,ERD,0.181393358834585,0.165923066553266,0.085285880258859
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,41,LRD,0.173394008898343,0.207205289120694,-0.194996819308639
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,42,ERD,0.163808079691259,0.175725735286202,-0.0727537714708895
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,42,LRD,0.172686278249779,0.197504383119433,-0.143717874524786
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,43,ERD,0.176093685668103,0.166851740433229,0.052483115449656
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,43,LRD,0.185425429923943,0.194927579962848,-0.0512451287981512
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,44,ERD,0.187656608940427,0.168812274179816,0.100419243782636
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,44,LRD,0.177994258114014,0.197959113088242,-0.112165724814785
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,45,ERD,0.186211243531387,0.173249271606302,0.0696089649543617
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,45,LRD,0.179055854086861,0.202051682807524,-0.128428242896253
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,46,ERD,0.179466204955864,0.17190785377969,0.0421157352607584
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,46,LRD,0.185779295248225,0.211601012152516,-0.138991359988688
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,47,ERD,0.176093685668103,0.167058112406554,0.0513111712510778
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,47,LRD,0.187902487193919,0.215996735184338,-0.149515040540281
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,48,ERD,0.191270022463028,0.172836527659652,0.0963741968867034
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,48,LRD,0.188964083166766,0.209175785652201,-0.106960551162503
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,49,ERD,0.191510916697869,0.183774242245875,0.0403980858396652
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,49,LRD,0.177286527465449,0.209175785652201,-0.179874120400752
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,50,ERD,0.19488343598563,0.179956360739363,0.0765948895080393
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,50,LRD,0.171978547601214,0.20932736230847,-0.217171357871105
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,51,ERD,0.19681058986435,0.175519363312877,0.108181305518917
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,51,LRD,0.169501490331238,0.195988616556736,-0.156264857457814
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,52,ERD,0.192233599402389,0.174177945486265,0.09392558830639
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,52,LRD,0.173040143574061,0.200687492901097,-0.15977419317849
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,53,ERD,0.182838724243625,0.177789455019451,0.0276159727380627
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,53,LRD,0.168793759682673,0.206447405839346,-0.223074870939899
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,54,ERD,0.187415714705587,0.179337244819389,0.0431045491510094
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,54,LRD,0.180117450059708,0.207356865776964,-0.1512314087737
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,55,ERD,0.182356935773945,0.17355882956629,0.0482466223196575
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,55,LRD,0.174101739546908,0.215087275246719,-0.235411408332129
