repdomains,log2val,sample_strand,direction,windows
ERD,0.0594632746025591,-,Left Replicating,-74
ERD,0.238436213650823,+,Left Replicating,-74
LRD,-0.996068354101928,-,Left Replicating,-74
LRD,-0.581185594693604,+,Left Replicating,-74
ERD,0.259662374561093,-,Left Replicating,-75
ERD,0.0879349805048581,+,Left Replicating,-75
LRD,-1.10631451080061,-,Left Replicating,-75
LRD,-0.792325665701145,+,Left Replicating,-75
ERD,0.201766634247145,-,Left Replicating,-76
ERD,0.1342405850679,+,Left Replicating,-76
LRD,-1.11731543200074,-,Left Replicating,-76
LRD,-0.729873804340864,+,Left Replicating,-76
ERD,0.0145758405277719,-,Left Replicating,-77
ERD,0.142734977106395,+,Left Replicating,-77
LRD,-1.21785513757855,-,Left Replicating,-77
LRD,-0.851046406343928,+,Left Replicating,-77
ERD,0.00734502605974371,-,Left Replicating,-78
ERD,0.0733541644316639,+,Left Replicating,-78
LRD,-1.07827332434019,-,Left Replicating,-78
LRD,-0.67131959697076,+,Left Replicating,-78
ERD,0.284665666116378,-,Left Replicating,-79
ERD,0.117864402461623,+,Left Replicating,-79
LRD,-1.16767109345193,-,Left Replicating,-79
LRD,-0.476686711093182,+,Left Replicating,-79
ERD,0.06548394202825,-,Left Replicating,-8
ERD,0.199884596389954,+,Left Replicating,-8
LRD,-1.26183284985486,-,Left Replicating,-8
LRD,-0.651359310659175,+,Left Replicating,-8
ERD,-0.124318614090574,-,Left Replicating,-80
ERD,0.168929704609625,+,Left Replicating,-80
LRD,-1.00547195918098,-,Left Replicating,-80
LRD,-0.472814858786261,+,Left Replicating,-80
ERD,0.0929562130005652,-,Left Replicating,-81
ERD,0.137030558222237,+,Left Replicating,-81
LRD,-1.12959620219426,-,Left Replicating,-81
LRD,-0.799162839430169,+,Left Replicating,-81
ERD,0.00960903984622358,-,Left Replicating,-82
ERD,-0.118742148954006,+,Left Replicating,-82
LRD,-0.995863992208482,-,Left Replicating,-82
LRD,-0.545218324426554,+,Left Replicating,-82
ERD,0.175086961592684,-,Left Replicating,-83
ERD,0.227927822564433,+,Left Replicating,-83
LRD,-1.0755180396464,-,Left Replicating,-83
LRD,-0.872099681046686,+,Left Replicating,-83
ERD,0.102069883612136,-,Left Replicating,-84
ERD,0.108084111423415,+,Left Replicating,-84
LRD,-1.13501043828271,-,Left Replicating,-84
LRD,-0.83053459855853,+,Left Replicating,-84
ERD,-0.0594143608368512,-,Left Replicating,-85
ERD,0.168180433676395,+,Left Replicating,-85
LRD,-1.29067081560794,-,Left Replicating,-85
LRD,-0.566489939638788,+,Left Replicating,-85
ERD,0.175595099300804,-,Left Replicating,-86
ERD,0.0579495281592836,+,Left Replicating,-86
LRD,-1.33253330791233,-,Left Replicating,-86
LRD,-0.751621113291104,+,Left Replicating,-86
ERD,0.133044959008155,-,Left Replicating,-87
ERD,0.131347835712493,+,Left Replicating,-87
LRD,-1.28017726869286,-,Left Replicating,-87
LRD,-0.864108816973943,+,Left Replicating,-87
ERD,0.133438972174356,-,Left Replicating,-88
ERD,0.12386231470674,+,Left Replicating,-88
LRD,-1.20952401613568,-,Left Replicating,-88
LRD,-0.610789761570667,+,Left Replicating,-88
ERD,0.112036376599761,-,Left Replicating,-89
ERD,0.1634475863684,+,Left Replicating,-89
LRD,-1.23685892184941,-,Left Replicating,-89
LRD,-0.750453732191636,+,Left Replicating,-89
ERD,0.0662438785836819,-,Left Replicating,-9
ERD,0.267975183131453,+,Left Replicating,-9
LRD,-1.00004965982715,-,Left Replicating,-9
LRD,-0.19628420766152,+,Left Replicating,-9
ERD,0.00279083387034829,-,Left Replicating,-90
ERD,0.22320513343406,+,Left Replicating,-90
LRD,-1.1156799768083,-,Left Replicating,-90
LRD,-0.817847180374157,+,Left Replicating,-90
ERD,0.33871772569411,-,Left Replicating,-91
ERD,0.190696652654337,+,Left Replicating,-91
LRD,-1.17975516165144,-,Left Replicating,-91
LRD,-0.774771327036521,+,Left Replicating,-91
ERD,0.00494897917937768,-,Left Replicating,-92
ERD,0.0743091113342445,+,Left Replicating,-92
LRD,-1.25815544127598,-,Left Replicating,-92
LRD,-0.851175883687673,+,Left Replicating,-92
ERD,0.125710432845681,-,Left Replicating,-93
ERD,0.00196734460680073,+,Left Replicating,-93
LRD,-1.09994262914066,-,Left Replicating,-93
LRD,-0.840737909644802,+,Left Replicating,-93
ERD,0.0954408151195639,-,Left Replicating,-94
ERD,0.223899766025385,+,Left Replicating,-94
LRD,-1.01858390696009,-,Left Replicating,-94
LRD,-0.902090385637038,+,Left Replicating,-94
ERD,0.219843058131216,-,Left Replicating,-95
ERD,0.254561213211278,+,Left Replicating,-95
LRD,-0.980049619462639,-,Left Replicating,-95
LRD,-0.677891066923331,+,Left Replicating,-95
ERD,0.00751858621534242,-,Left Replicating,-96
ERD,0.196700389735731,+,Left Replicating,-96
LRD,-1.27430351857282,-,Left Replicating,-96
LRD,-0.715351393660026,+,Left Replicating,-96
ERD,0.159938232376105,-,Left Replicating,-97
ERD,0.123706462265234,+,Left Replicating,-97
LRD,-1.55548404244119,-,Left Replicating,-97
LRD,-0.680778585349664,+,Left Replicating,-97
ERD,-0.128839065136294,-,Left Replicating,-98
ERD,0.27704982706764,+,Left Replicating,-98
LRD,-1.15945143745116,-,Left Replicating,-98
LRD,-0.340452715022371,+,Left Replicating,-98
ERD,0.101732007207422,-,Left Replicating,-99
ERD,0.252786438701958,+,Left Replicating,-99
LRD,-1.29591873016023,-,Left Replicating,-99
LRD,-0.948416854156954,+,Left Replicating,-99
ERD,0.070158869096478,-,Right Replicating,1
ERD,-0.0722121138580027,+,Right Replicating,1
LRD,-0.846921112792357,-,Right Replicating,1
LRD,-0.617304290175554,+,Right Replicating,1
ERD,-0.0036104624230358,-,Right Replicating,10
ERD,-0.0639048485116816,+,Right Replicating,10
LRD,-0.828060264394297,-,Right Replicating,10
LRD,-0.640907398712166,+,Right Replicating,10
ERD,0.284351282094791,-,Right Replicating,100
ERD,0.23957362259477,+,Right Replicating,100
LRD,-1.05537734210519,-,Right Replicating,100
LRD,-1.04876360068699,+,Right Replicating,100
ERD,0.114972721966967,-,Right Replicating,11
ERD,0.108344806325762,+,Right Replicating,11
LRD,-0.372082153333271,-,Right Replicating,11
LRD,-0.854231908032528,+,Right Replicating,11
ERD,0.117862215794505,-,Right Replicating,12
ERD,0.185992462241218,+,Right Replicating,12
LRD,-0.468426547179301,-,Right Replicating,12
LRD,-0.664330853854449,+,Right Replicating,12
ERD,0.0609893032392149,-,Right Replicating,13
ERD,0.0489575135803809,+,Right Replicating,13
