dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.55124427814302,45
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24449420574971,46
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.58371474459791,46
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18328439088816,46
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.51372060930085,46
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24467680817902,47
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.56560040958018,47
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1991860402352,47
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.58108859745469,47
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.25891330313615,48
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.57663600452524,48
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15009156469478,48
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.54412674919394,48
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.14354863673083,-86
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.40255080138864,-86
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.12203922265101,-86
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.37438682158433,-86
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24555807694159,49
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.51907343824793,49
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20702557821627,49
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.50602535222203,49
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.2674225611652,50
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.54064330792099,50
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21891117348799,50
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.54266150776762,50
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22223959951799,51
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52052689218726,51
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15299132817005,51
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.50041219666229,51
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.25620124584707,52
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52209313778704,52
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21710529989905,52
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.49452014632829,52
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22198774093639,53
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.59695944815549,53
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1818155037911,53
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.53523410301725,53
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23545494921525,54
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.55821399853813,54
