dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows,sample
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23850322585263,63,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61174667806181,63,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26292449752719,64,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.63238771315715,64,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2912410602079,65,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61247979003727,65,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28115544150849,66,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61323564808319,66,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26118231841378,67,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.64272463692382,67,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25457600740342,68,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.60592814977424,68,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2608009838784,-84,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19508456655604,-84,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27171891420902,69,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.60684405969958,69,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28228680221696,70,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58227243759817,70,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27775524111518,71,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61476463879438,71,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23824027253537,72,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.59180631452207,72,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25221761520226,73,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.62453684721492,73,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24220888607809,74,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.57990740205319,74,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24883112726685,75,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.57276975075421,75,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24695799732938,76,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56099235461082,76,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25603481301898,77,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58039332727255,77,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.21365884384311,78,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61226284173562,78,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30764215660766,-83,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20062675747568,-83,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25599912412203,79,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58351314554574,79,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24111414343497,80,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56253840176028,80,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23833583232433,81,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58351489308735,81,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2178973169584,82,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.52005242430299,82,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23511596324482,83,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56049375993606,83,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24146395391778,84,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58906448005224,84,CPD 120 min.
