repDomain,sample_names,cell_line,product,method,phase,time_after_exposure,replicate,sample_strand,windows,real,sim,xr_ds
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-40,0.200960228006878,0.16514761682968,1.21685212214798
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-41,0.192715705832237,0.167692699965754,1.14921941069345
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-42,0.18498646629351,0.16090581160289,1.14965683619962
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-43,0.177257226754784,0.151856627119072,1.16726698147849
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-44,0.181379487842105,0.155815645330743,1.16406467050917
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-45,0.181121846524147,0.16090581160289,1.12563893572191
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-46,0.187562879473086,0.150725479058595,1.24440061922225
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-47,0.185501748929426,0.171368931162305,1.08247012846066
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-48,0.199929662735048,0.164016468769203,1.21896090212977
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-49,0.198383814827302,0.16514761682968,1.20125145391531
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-5,0.187562879473086,0.157795154436578,1.18864790330727
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-50,0.1965803256016,0.155532858315623,1.26391508347823
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-51,0.179318357298445,0.159491876527294,1.12431028590825
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-52,0.200960228006878,0.166561551905277,1.20652230786829
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-53,0.188851086062873,0.172500079222782,1.09478840191705
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-54,0.185501748929426,0.172217292207663,1.07713776329582
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-55,0.196837966919557,0.15694679339122,1.254170044933
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-56,0.183182977067808,0.172782866237902,1.06019179480207
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-57,0.183182977067808,0.163168107723845,1.1226641016015
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-58,0.198126173509345,0.172782866237902,1.1466772014104
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-59,0.200960228006878,0.156098432345862,1.28739427415656
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-6,0.195807401647727,0.166278764890157,1.17758513407936
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-60,0.20070258668892,0.171368931162305,1.17117254176507
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-61,0.192715705832237,0.179852541615885,1.07152061405851
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-62,0.180091281252317,0.160340237572652,1.12318207817745
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-63,0.206113054366028,0.171086144147186,1.20473259476062
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-64,0.194776836375897,0.169954996086708,1.14604948875127
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-65,0.183182977067808,0.172217292207663,1.06367354125463
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-66,0.191169857924491,0.171934505192544,1.11187604669817
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-67,0.191685140560406,0.160340237572652,1.19548993728759
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-68,0.190654575288576,0.165995977875038,1.14854936685334
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-69,0.199156738781175,0.162602533693606,1.22480710636679
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-7,0.1965803256016,0.162319746678487,1.2110684597788
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-70,0.195549760329769,0.175327949373975,1.11533706421593
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-71,0.198126173509345,0.173914014298379,1.1392191383118
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-72,0.192973347150194,0.168258273995993,1.1468877135563
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-73,0.192973347150194,0.167975486980873,1.14881850095286
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-74,0.193488629786109,0.178155819525169,1.08606404383425
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-75,0.19864145614526,0.166561551905277,1.19260089662365
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-76,0.18189477047802,0.179569754600765,1.01294770314981
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-77,0.183698259703723,0.158643515481936,1.15793109567494
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-78,0.183440618385765,0.154118923240027,1.19025369843827
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-79,0.190912216606534,0.171086144147186,1.11588356589702
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-8,0.181121846524147,0.167409912950635,1.08190634193542
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-80,0.193230988468152,0.164864829814561,1.1720570644782
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-81,0.201990793278708,0.162036959663368,1.24657234805161
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-82,0.183698259703723,0.162036959663368,1.13368122979693
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-83,0.187820520791043,0.164582042799441,1.14119692280111
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-84,0.193230988468152,0.170237783101828,1.13506523021726
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-85,0.189624010016746,0.157795154436578,1.20170996817878
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-86,0.184213542339638,0.175893523404214,1.0473014513235
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-87,0.192458064514279,0.158077941451697,1.21748842847303
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-88,0.197868532191387,0.158926302497055,1.2450332580729
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-89,0.206370695683986,0.178438606540288,1.15653613130739
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-9,0.173392606985421,0.145352525771328,1.19291086319481
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-90,0.197868532191387,0.167409912950635,1.18194035648136
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-91,0.197868532191387,0.164299255784322,1.20431788474521
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-92,0.189366368698789,0.167127125935515,1.13306782270554
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-93,0.187562879473086,0.164582042799441,1.13963149492347
