repdomains,log2val,sample_strand,direction,windows
ERD,-0.256172718470463,-,Left Replicating,-63
ERD,-0.140174600281143,+,Left Replicating,-63
LRD,-0.543529502321858,-,Left Replicating,-63
LRD,-0.50659365914449,+,Left Replicating,-63
ERD,-0.167411003526013,-,Left Replicating,-64
ERD,-0.0593195839988002,+,Left Replicating,-64
LRD,-0.457157528339853,-,Left Replicating,-64
LRD,-0.470521319033814,+,Left Replicating,-64
ERD,-0.0641576959562675,-,Left Replicating,-65
ERD,-0.0908677375999303,+,Left Replicating,-65
LRD,-0.830584257273244,-,Left Replicating,-65
LRD,-0.153403821400782,+,Left Replicating,-65
ERD,-0.277858567940633,-,Left Replicating,-66
ERD,-0.150452533075522,+,Left Replicating,-66
LRD,-0.62760237533532,-,Left Replicating,-66
LRD,-0.26991631770763,+,Left Replicating,-66
ERD,-0.0545144002724407,-,Left Replicating,-67
ERD,0.057911297359981,+,Left Replicating,-67
LRD,-0.457455492448282,-,Left Replicating,-67
LRD,-0.350009111988349,+,Left Replicating,-67
ERD,-0.0535467002427271,-,Left Replicating,-68
ERD,0.0723033942614686,+,Left Replicating,-68
LRD,-0.564679500216361,-,Left Replicating,-68
LRD,-0.240839680623255,+,Left Replicating,-68
ERD,-0.10708575184094,-,Left Replicating,-69
ERD,-0.0727321449108951,+,Left Replicating,-69
LRD,-0.588876253094573,-,Left Replicating,-69
LRD,-0.432746420687401,+,Left Replicating,-69
ERD,-0.246512112569837,-,Left Replicating,-7
ERD,-0.146899350877925,+,Left Replicating,-7
LRD,-0.354169998488865,-,Left Replicating,-7
LRD,-0.108757201025972,+,Left Replicating,-7
ERD,0.0971452245248885,-,Left Replicating,-70
ERD,-0.143496515297899,+,Left Replicating,-70
LRD,-0.575693805640086,-,Left Replicating,-70
LRD,-0.235476053046362,+,Left Replicating,-70
ERD,-0.0366447468196355,-,Left Replicating,-71
ERD,-0.126145368823052,+,Left Replicating,-71
LRD,-0.686759080219898,-,Left Replicating,-71
LRD,-0.343050808437607,+,Left Replicating,-71
ERD,-0.235091835533443,-,Left Replicating,-72
ERD,-0.0334890765418482,+,Left Replicating,-72
LRD,-0.5525704458412,-,Left Replicating,-72
LRD,-0.247809925010491,+,Left Replicating,-72
ERD,-0.0493889073331281,-,Left Replicating,-73
ERD,-0.135196784201905,+,Left Replicating,-73
LRD,-0.615048997778822,-,Left Replicating,-73
LRD,-0.184659446567241,+,Left Replicating,-73
ERD,-0.26196403175899,-,Left Replicating,-74
ERD,-0.169121748025692,+,Left Replicating,-74
LRD,-0.720011484826336,-,Left Replicating,-74
LRD,-0.0559362052313748,+,Left Replicating,-74
ERD,-0.0863769637121396,-,Left Replicating,-75
